Lap,Eli Iserbyt,Tom Pidcock,Michael Vanthourenhout,Toon Aerts,Lars van der Haar,Tom Meeusen,Corné van Kessel,Tim Merlier,Jens Adams,Jim Aernauts
0,0:01:15,0:01:23,0:01:28,0:01:17,0:01:16,0:01:21,0:01:18,0:01:18,0:01:20,0:01:21
1,0:08:34,0:08:28,0:08:46,0:08:43,0:08:58,0:09:03,0:08:48,0:08:58,0:09:07,0:09:22
2,0:08:46,0:08:46,0:08:50,0:08:47,0:08:55,0:09:01,0:08:58,0:09:10,0:08:58,0:09:07
3,0:08:32,0:08:39,0:08:49,0:08:53,0:09:04,0:09:00,0:09:09,0:09:09,0:09:06,0:09:25
4,0:08:44,0:08:58,0:08:58,0:09:14,0:09:07,0:09:20,0:09:05,0:09:10,0:09:16,0:09:18
5,0:09:10,0:08:47,0:09:00,0:09:05,0:09:06,0:09:04,0:09:20,0:09:16,0:09:27,0:09:23
6,0:08:46,0:08:45,0:08:58,0:09:13,0:09:05,0:09:18,0:09:26,0:09:18,0:09:18,0:09:24
7,0:08:38,0:09:10,0:09:05,0:09:11,0:09:06,0:09:04,0:09:16,0:09:20,0:09:21,0:09:17
Nationality,Bel,Gbr,Bel,Bel,Ned,Bel,Ned,Bel,Bel,Bel
Total Time,1:02:25,1:02:56,1:03:54,1:04:23,1:04:37,1:05:11,1:05:20,1:05:39,1:05:53,1:06:37
