Lap,Eli Iserbyt,Quinten Hermans,Corne van Kessel,Lars van der Haar,Jens Adams,Daan Soete,Gianni Vermeersch,Laurens Sweeck,Toon Aerts,Joris Nieuwenhuis
0,0:00:11,0:00:11,0:00:12,0:00:11,0:00:12,0:00:11,0:00:11,0:00:11,0:00:11,0:00:11
1,0:06:24,0:06:22,0:06:26,0:06:26,0:06:30,0:06:28,0:06:41,0:06:21,0:06:30,0:06:22
2,0:06:22,0:06:24,0:06:22,0:06:28,0:06:23,0:06:20,0:06:25,0:06:25,0:06:24,0:06:24
3,0:06:19,0:06:26,0:06:24,0:06:30,0:06:23,0:06:17,0:06:28,0:06:28,0:06:20,0:06:27
4,0:06:24,0:06:16,0:06:30,0:06:27,0:06:34,0:06:53,0:06:29,0:06:30,0:06:28,0:06:31
5,0:06:21,0:06:22,0:06:39,0:06:31,0:06:35,0:06:29,0:06:30,0:06:42,0:06:33,0:06:38
6,0:06:18,0:06:19,0:06:25,0:06:28,0:06:30,0:06:46,0:06:32,0:06:31,0:06:19,0:06:27
7,0:06:38,0:06:37,0:06:30,0:06:30,0:06:35,0:06:36,0:06:35,0:06:43,0:06:22,0:06:38
8,0:06:31,0:06:31,0:06:29,0:06:26,0:06:35,0:06:36,0:06:36,0:06:35,0:06:24,0:06:41
9,0:06:29,0:06:29,0:06:32,0:06:33,0:06:31,0:06:33,0:06:39,0:06:39,0:07:47,0:06:51
10,0:06:16,0:06:33,0:06:27,0:06:26,0:06:33,0:06:21,0:06:28,0:06:34,0:06:35,0:06:59
Nationality,BEL,BEL,NED,NED,BEL,BEL,BEL,BEL,BEL,NED
Total Time,1:04:13,1:04:30,1:04:56,1:04:56,1:05:21,1:05:30,1:05:34,1:05:39,1:05:53,1:06:09
