Lap,Mathias Flückinger,Mathieu Van der Poel,Jordan Sarrou,Titouan Carod,Florian Vogel,Nino Schurter,Maxime Marotte,Reto Indergand,Andri Frischknecht,David Valero Serrano
1,0:09:15,0:09:07,0:09:10,0:09:15,0:09:11,0:08:49,0:09:09,0:09:11,0:09:10,0:09:32
2,0:12:18,0:12:45,0:12:28,0:12:47,0:12:27,0:12:43,0:12:40,0:12:38,0:12:39,0:12:30
3,0:12:19,0:12:26,0:12:15,0:12:31,0:12:32,0:12:21,0:12:32,0:12:29,0:12:31,0:12:44
4,0:12:26,0:12:19,0:12:26,0:12:25,0:12:28,0:12:44,0:12:34,0:12:26,0:12:46,0:12:47
5,0:12:23,0:12:38,0:12:33,0:12:41,0:12:48,0:12:49,0:12:44,0:12:55,0:12:58,0:12:52
6,0:12:35,0:12:43,0:12:52,0:12:53,0:13:06,0:13:06,0:12:54,0:12:57,0:13:06,0:12:51
7,0:12:38,0:12:28,0:12:43,0:12:42,0:12:44,0:13:01,0:13:05,0:13:13,0:12:52,0:13:03
Nationality,SUI,NED,FRA,FRA,SUI,SUI,FRA,SUI,SUI,SPA
Average Speed,20.02,19.895,19.89,19.71,19.701,19.636,19.618,19.575,19.524,19.449
Total Time,1:23:54,1:24:26,1:24:27,1:25:14,1:25:16,1:25:33,1:25:38,1:25:49,1:26:02,1:26:19
